food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Nuts,557,30.2,49.9,24.2
Paneer,260,28.8,76.2,2.3
Apple,235,3.7,67.5,2.4
Chocolate,248,26.5,21.6,44.5
Beef Steak,517,7.2,33.3,42.9
Pork Chop,546,23.1,96.5,13.8
Chocolate,525,12.5,44.1,47.2
Popcorn,506,4.1,19.9,29.2
Chips,293,17.9,94.4,9.2
Banana,299,24.7,27.2,47.5
Eggs,211,18.7,74.8,4.3
Rice,483,5.2,84.1,47.2
Orange,243,19.3,77.2,8.5
Apple,441,15.4,56.4,19.0
Beef Steak,65,41.5,14.7,36.6
Spinach,105,26.1,62.0,46.2
Chips,89,27.7,42.9,49.1
Oats,322,42.5,88.9,26.7
Paneer,367,7.8,70.7,35.3
Banana,143,45.0,70.9,10.6
Bread,460,14.4,51.6,10.5
Apple,133,44.3,82.1,16.7
Nuts,141,10.9,44.1,15.8
Potato,265,40.9,45.3,32.1
Rice,538,18.4,36.0,7.0
Orange Juice,126,5.8,74.3,35.2
Milk,423,9.0,53.3,20.6
Chips,231,8.7,40.2,25.6
Coffee,481,32.5,60.5,22.1
Milk,178,6.7,29.8,31.4
Paneer,211,48.8,93.5,46.0
Pork Chop,559,24.7,75.9,12.9
Orange Juice,409,14.2,48.0,37.6
Yogurt,295,37.2,82.3,25.1
Potato,343,5.2,33.5,4.5
Spinach,200,44.5,47.5,23.0
Popcorn,200,27.6,40.0,45.3
Broccoli,429,26.4,74.9,39.3
Salmon,404,32.9,39.9,19.8
Chips,164,37.6,33.1,17.0
Bread,130,25.9,92.8,34.9
Banana,301,31.1,72.5,2.7
Chocolate,509,14.9,81.6,4.2
Bread,61,31.4,57.8,11.5
Pasta,412,47.1,17.0,17.2
Rice,366,12.7,85.8,49.0
Pork Chop,599,18.6,16.5,24.6
Coffee,167,6.2,45.0,13.6
Rice,402,38.5,79.9,23.7
Coffee,330,16.3,33.5,18.4
Chicken Breast,596,6.6,78.5,16.8
Orange,193,6.9,95.1,18.7
Chips,197,27.4,53.7,3.6
Chicken Breast,436,15.4,57.9,10.3
Potato,167,3.5,49.6,37.3
Apple,537,38.2,95.2,23.9
Pork Chop,473,45.6,27.5,2.0
Green Tea,547,25.2,49.6,22.4
Potato,569,1.2,29.9,12.1
Apple,490,20.8,90.6,44.9
Paneer,421,18.1,62.3,10.1
Broccoli,228,19.0,31.2,16.0
Potato,529,44.5,69.5,48.8
Yogurt,500,4.8,32.6,35.6
Oats,356,43.6,46.6,40.1
Green Tea,413,24.9,11.1,42.9
Chicken Breast,582,27.8,59.0,21.0
Orange,584,12.6,42.5,1.4
Banana,527,17.0,18.3,3.2
Green Tea,187,17.1,36.2,34.5
Salmon,485,9.6,27.5,6.1
Tomato,214,37.9,31.3,33.1
Orange,301,24.9,48.4,22.3
Carrot,279,8.8,74.2,20.6
Broccoli,408,27.3,87.0,18.4
Green Tea,219,32.6,29.1,40.4
Apple,206,8.6,15.4,30.4
Bread,545,13.7,9.5,5.2
Paneer,213,10.9,91.8,46.1
Spinach,196,32.8,48.1,8.1
Orange Juice,566,44.9,71.6,21.9
Milkshake,130,20.2,51.3,29.0
Milkshake,173,49.4,15.1,31.8
Milk,350,47.0,66.5,22.4
Milk,377,35.5,29.6,7.1
Orange Juice,80,22.8,15.4,22.0
Orange,569,19.7,88.3,28.2
Chips,307,21.1,42.9,29.2
Spinach,291,24.8,62.7,10.5
Orange Juice,262,34.8,66.0,49.4
Potato,345,48.8,73.7,25.0
Apple,494,28.1,15.6,8.8
Paneer,500,18.9,68.2,13.5
Carrot,54,29.4,85.9,34.0
Carrot,145,10.4,80.7,28.4
Pasta,491,12.0,95.1,22.3
Butter,441,47.9,70.5,43.4
Beef Steak,392,9.8,68.9,40.8
Strawberry,55,25.7,21.4,10.1
Apple,315,8.3,37.5,16.6
Carrot,161,48.4,43.1,41.2
Oats,561,14.6,79.7,46.0
Carrot,259,3.0,93.0,44.3
Banana,452,4.4,51.3,35.6
Milk,237,21.5,44.7,32.4
Orange,374,19.8,95.4,1.2
Water,258,33.7,86.4,26.5
Chocolate,205,5.4,94.0,36.6
Milk,371,18.4,47.2,41.8
Cheese,155,48.9,95.8,30.0
Chocolate,553,44.4,32.6,47.5
Spinach,523,32.9,97.2,10.2
Chips,457,2.3,71.4,1.9
Pasta,198,29.9,72.9,1.2
Milkshake,200,10.4,72.3,44.7
Chips,520,7.6,99.9,44.9
Spinach,243,18.0,67.1,47.7
Beef Steak,306,23.0,75.3,13.4
Pasta,572,28.2,38.2,9.9
Strawberry,143,1.4,68.4,41.7
Strawberry,188,46.0,45.7,28.3
Yogurt,498,20.8,46.8,12.2
Coffee,577,17.5,82.7,12.5
Water,210,12.4,55.9,4.5
Quinoa,598,35.0,57.9,47.9
Orange Juice,263,30.1,37.1,3.0
Salmon,562,35.3,75.7,21.0
Milkshake,115,1.6,97.9,37.9
Potato,301,6.4,44.5,21.2
Grapes,529,30.8,90.8,32.6
Oats,428,15.7,23.7,47.7
Coffee,240,21.7,82.9,46.1
Chocolate,563,20.9,79.7,37.7
Apple,397,49.4,79.6,28.8
Butter,163,24.6,47.8,42.3
Carrot,176,11.6,92.1,35.1
Grapes,220,29.8,6.3,6.2
Milkshake,365,11.5,95.6,10.9
Chocolate,337,47.6,64.4,16.2
Nuts,66,32.0,33.4,48.7
Yogurt,492,32.4,98.2,26.6
Yogurt,94,31.8,83.8,21.0
Milk,468,32.1,5.6,2.8
Rice,227,23.3,99.3,11.4
Butter,332,13.9,9.6,46.8
Grapes,276,47.8,93.2,9.2
Cookies,326,14.6,82.4,1.1
Chicken Breast,431,35.6,47.1,1.7
Oats,518,47.9,16.6,2.8
Butter,300,1.4,8.7,23.7
Apple,171,1.1,97.5,1.8
Chicken Breast,539,44.1,12.2,21.0
Grapes,169,37.2,74.3,2.5
Banana,421,10.0,89.5,28.7
Orange Juice,238,1.4,38.9,17.7
Strawberry,250,8.9,14.5,41.8
Popcorn,65,33.8,9.7,31.1
Broccoli,582,24.8,60.4,9.9
Chips,226,35.1,30.6,4.2
Butter,266,30.8,53.6,34.4
Rice,546,43.4,30.7,2.0
Butter,438,18.8,52.3,15.3
Pasta,193,48.4,54.3,19.0
Popcorn,360,43.0,53.3,10.9
Broccoli,348,8.0,95.3,1.2
Water,238,16.3,41.2,29.2
Tomato,149,37.9,36.3,15.1
Chicken Breast,411,39.4,66.3,39.1
Orange,54,36.4,54.6,48.7
Popcorn,331,43.6,74.4,13.2
Strawberry,368,5.7,97.4,27.4
Paneer,75,7.3,94.0,29.3
Chocolate,217,38.3,39.9,41.8
Pasta,234,18.4,58.9,38.2
Chicken Breast,328,36.2,20.8,26.9
Cheese,273,18.9,23.7,5.3
Strawberry,387,21.2,33.9,10.4
Yogurt,316,30.1,8.0,43.2
Milk,311,3.1,99.3,41.1
Chips,334,46.3,20.1,4.7
Apple,413,2.0,74.5,21.3
Milkshake,410,31.9,30.6,26.7
Green Tea,529,35.1,74.1,14.5
Cheese,203,44.5,70.2,25.7
Paneer,165,10.2,21.1,8.0
Green Tea,482,41.8,67.5,27.8
Chocolate,380,2.7,62.3,46.2
Water,136,38.5,85.7,44.2
Spinach,516,24.1,7.1,35.2
Oats,528,40.8,30.1,6.9
Milkshake,416,4.1,76.7,46.8
Quinoa,563,30.4,22.1,43.1
Broccoli,444,36.7,62.8,21.0
Apple,558,22.4,62.7,15.3
Tomato,268,22.9,96.6,1.1
Green Tea,149,48.1,98.8,3.9
Spinach,485,30.5,11.1,25.7
Orange Juice,130,47.7,6.8,17.6
Orange Juice,241,15.6,24.6,35.9
Grapes,430,8.0,47.9,40.2
Milk,394,5.2,66.2,44.1
Spinach,67,1.9,77.6,41.8
Orange Juice,542,27.5,38.9,20.5
Coffee,277,13.1,72.5,2.1
Apple,94,17.1,91.9,26.9
Rice,183,34.2,9.5,37.4
Milkshake,504,13.2,67.4,3.1
Butter,456,26.0,95.8,29.7
Green Tea,112,37.2,73.4,25.6
Apple,341,8.4,24.5,36.4
Spinach,197,24.3,52.4,28.3
Water,460,39.5,70.9,45.3
Popcorn,490,15.1,22.5,9.8
Coffee,272,23.4,33.3,47.9
Bread,561,29.9,21.8,33.8
Water,131,18.2,89.2,5.2
Grapes,73,20.2,90.5,42.0
Yogurt,549,23.3,8.7,41.2
Pasta,70,7.4,75.2,7.9
Bread,417,46.5,42.4,49.7
Butter,269,20.0,25.4,11.2
Butter,359,12.0,42.3,46.2
Pork Chop,270,43.9,76.6,23.4
Butter,337,32.6,15.8,46.1
Potato,337,19.2,80.2,11.4
Orange Juice,503,43.9,86.9,4.8
Chips,414,49.5,77.8,5.4
Pork Chop,401,5.0,31.4,33.1
Tomato,194,47.1,63.1,49.4
Cookies,268,37.8,36.3,31.1
Apple,474,11.8,95.2,27.3
Milkshake,591,36.9,44.2,48.1
Butter,249,4.5,48.7,16.3
Nuts,438,46.4,48.3,44.6
Butter,118,43.2,33.2,6.8
Paneer,339,29.3,58.7,29.0
Broccoli,296,42.6,54.9,15.0
Carrot,246,49.0,43.0,40.7
Cookies,437,42.7,43.5,38.6
Bread,499,7.3,85.8,21.1
Grapes,109,19.2,60.3,30.0
Yogurt,70,26.0,47.5,13.6
Salmon,142,22.5,55.7,29.9
Chips,355,23.5,32.7,40.7
Orange Juice,278,28.5,55.3,2.9
Green Tea,136,30.7,26.5,27.3
Cookies,502,50.0,92.7,42.4
Butter,189,38.8,5.3,16.8
Eggs,119,43.6,75.4,10.9
Green Tea,247,25.2,85.2,25.3
Bread,281,32.2,59.8,30.5
Apple,357,29.0,8.3,24.1
Paneer,177,15.9,56.0,12.3
Pork Chop,535,25.8,91.7,18.5
Paneer,451,22.7,84.7,18.8
Salmon,82,46.8,71.6,28.8
Potato,475,10.9,88.3,36.5
Popcorn,569,32.5,50.2,1.4
Rice,453,12.2,40.3,39.2
Quinoa,379,17.6,84.4,45.2
Broccoli,349,32.5,81.7,44.9
Cookies,332,41.5,25.6,47.6
Milkshake,455,10.1,56.9,29.7
Paneer,451,30.2,80.3,41.0
Rice,214,20.3,42.2,28.7
Orange,205,3.6,48.8,32.4
Carrot,90,8.7,72.2,28.2
Cookies,538,13.0,14.5,31.4
Chips,93,13.7,10.0,33.3
Orange Juice,484,19.0,12.8,33.8
Banana,94,32.5,76.0,31.3
Salmon,509,35.9,94.4,8.0
Salmon,289,22.4,24.1,32.2
Milk,146,34.8,7.5,24.1
Pork Chop,59,18.8,22.4,11.3
Salmon,342,31.5,8.4,6.5
Bread,122,18.7,38.6,35.3
Tomato,568,36.2,93.4,47.4
Salmon,247,3.6,5.4,13.4
Popcorn,286,36.9,7.2,45.0
Grapes,189,17.1,84.4,23.7
Spinach,321,42.2,62.4,3.1
Grapes,136,31.2,42.3,16.0
Chips,426,27.3,85.7,47.3
Water,554,22.2,70.5,39.1
Cookies,375,42.3,64.2,25.8
Cheese,92,21.8,55.0,48.4
Chicken Breast,68,34.5,35.8,8.7
Bread,216,26.9,40.8,32.9
Bread,297,14.4,25.8,21.3
Chips,256,12.0,47.7,11.3
Salmon,469,7.4,31.4,41.4
Rice,490,47.3,31.6,21.4
Green Tea,105,13.9,9.7,11.5
Rice,415,21.8,28.6,25.7
Apple,453,36.5,19.9,32.2
Orange,441,29.5,17.7,47.8
Chicken Breast,476,43.9,97.5,2.8
Chicken Breast,246,27.6,78.4,2.8
Bread,144,8.2,98.2,24.3
Rice,384,23.3,56.2,20.9
Butter,548,20.6,53.5,4.5
Chocolate,526,28.2,80.8,48.4
Cheese,435,9.6,60.2,14.6
Carrot,183,42.0,29.0,13.7
Rice,445,39.0,5.2,26.5
Paneer,147,44.9,28.9,17.7
Nuts,207,43.8,20.0,16.3
Pasta,258,29.8,97.8,34.6
Cheese,197,32.1,45.7,8.3
Green Tea,123,43.0,38.0,21.0
Beef Steak,339,23.5,46.8,13.7
Milkshake,204,29.1,67.5,45.6
Yogurt,66,29.9,68.1,41.8
Butter,271,31.9,66.4,29.5
Grapes,287,25.3,10.8,45.4
Cookies,227,43.5,75.9,10.5
Oats,190,2.6,47.6,32.0
Butter,476,31.0,63.5,48.6
Strawberry,191,26.8,79.4,28.6
Banana,169,34.4,93.0,45.9
Quinoa,522,24.9,66.7,39.4
Banana,143,30.1,60.4,43.6
Orange,428,5.9,16.4,34.5
Green Tea,568,33.4,51.1,32.5
Pasta,584,8.5,15.9,47.7
Banana,57,19.0,10.0,1.8
Green Tea,154,40.2,83.7,8.8
Butter,157,24.4,86.1,24.3
Green Tea,89,49.9,58.6,5.8
Grapes,51,30.2,9.7,9.9
Paneer,226,6.1,98.4,46.8
Pork Chop,136,33.8,55.8,19.1
Yogurt,518,14.2,44.3,12.9
Apple,69,34.6,72.7,3.0
Chocolate,472,21.5,56.0,3.0
Chocolate,525,30.6,17.6,18.7
Yogurt,597,26.1,83.5,16.5
Nuts,589,29.6,73.9,43.8
Spinach,567,7.1,79.0,33.2
Potato,86,26.3,74.9,13.7
Orange,340,6.9,33.9,29.3
Pork Chop,380,7.0,38.6,31.5
Coffee,535,17.3,73.2,41.2
Milkshake,95,7.4,76.9,26.6
Butter,312,13.1,36.0,3.6
Quinoa,224,2.6,37.2,29.2
Popcorn,553,29.9,95.8,4.4
Broccoli,528,43.3,57.7,31.0
Paneer,421,22.2,34.1,10.0
Cookies,415,38.8,48.4,21.4
Strawberry,527,9.5,26.7,46.4
Chips,199,9.6,38.8,1.0
Eggs,299,14.1,26.0,7.5
Butter,390,19.4,35.3,21.1
Apple,194,25.9,78.9,19.3
Yogurt,303,23.7,21.6,7.7
Chips,251,49.4,15.6,22.7
Cookies,258,15.9,79.5,9.3
Apple,74,11.1,40.6,5.3
Orange Juice,469,42.7,16.6,47.2
Tomato,497,34.6,91.7,4.9
Orange,255,43.6,37.1,30.4
Pork Chop,328,30.1,6.9,34.9
Water,60,43.1,63.9,47.3
Chicken Breast,596,32.4,50.2,32.6
Strawberry,561,46.7,80.2,42.5
Rice,62,17.6,46.5,47.2
Yogurt,556,21.3,34.9,48.4
Salmon,60,12.9,57.1,22.9
Paneer,314,11.4,12.2,42.3
Milk,70,10.6,46.1,38.6
Green Tea,272,42.7,40.6,26.9
Pork Chop,478,10.0,18.3,47.1
Apple,376,44.3,74.7,42.5
Salmon,218,35.0,20.2,7.2
Broccoli,281,3.3,88.3,6.8
Popcorn,496,7.0,68.3,3.2
Quinoa,297,9.7,33.3,39.7
Carrot,190,15.8,67.4,13.7
Milk,85,26.3,65.0,6.2
Grapes,431,45.0,24.6,7.1
Chocolate,288,33.5,19.1,37.4
Grapes,284,5.8,25.7,40.7
Pork Chop,282,8.4,72.0,48.6
Green Tea,377,12.9,79.7,44.4
Oats,567,35.6,41.1,37.5
Cookies,542,46.0,81.3,10.4
Grapes,149,25.3,96.7,7.6
Pasta,544,26.0,8.8,7.5
Orange Juice,122,40.4,47.9,6.1
Spinach,248,29.8,60.5,42.1
Chips,564,45.6,7.1,40.9
Chicken Breast,594,9.0,12.9,2.5
Pasta,459,4.3,11.1,19.6
Orange,303,44.0,67.9,33.3
Yogurt,60,4.0,14.5,48.5
Salmon,216,10.8,78.5,20.0
Paneer,520,1.7,81.9,45.6
Grapes,441,15.0,54.9,39.5
Pork Chop,228,13.7,48.8,45.7
Beef Steak,383,40.4,90.4,6.4
Potato,80,3.6,79.4,20.3
Milkshake,393,49.2,78.7,21.7
Oats,342,1.9,89.6,43.3
Chips,494,15.3,62.5,21.4
Nuts,316,10.5,18.2,13.2
Pasta,407,13.1,64.6,18.6
Tomato,301,3.0,82.3,11.1
Nuts,534,27.4,5.8,23.8
Carrot,417,41.7,34.2,24.2
Broccoli,197,12.1,61.3,10.1
Milkshake,571,21.8,63.1,37.2
Potato,452,47.6,85.9,2.2
Orange,201,9.6,57.9,43.8
Cookies,464,47.3,27.9,32.4
Popcorn,288,20.8,10.0,10.0
Orange Juice,246,40.0,23.0,33.3
Orange Juice,383,6.9,90.3,19.6
Potato,234,44.7,49.9,18.1
Broccoli,68,35.9,71.7,1.4
Salmon,464,29.3,53.4,16.3
Banana,115,23.5,14.7,5.2
Carrot,528,42.3,76.9,42.7
Eggs,584,46.3,11.2,29.4
Grapes,462,49.6,20.7,33.9
Eggs,114,23.7,52.2,24.7
Quinoa,152,21.3,66.5,38.3
Eggs,324,6.2,7.0,45.0
Nuts,87,8.8,8.9,40.8
Oats,82,5.1,15.1,17.4
Milkshake,545,21.4,94.2,37.4
Chips,396,47.0,67.0,38.5
Pork Chop,568,33.2,30.1,31.6
Banana,464,37.9,77.9,12.0
Milkshake,350,14.3,78.6,44.5
Tomato,229,44.7,66.3,49.0
Milkshake,114,19.2,17.8,33.0
Nuts,92,21.8,78.8,32.0
Orange,122,28.7,85.6,6.4
Rice,554,49.3,56.3,5.6
Butter,294,15.9,57.9,24.6
Yogurt,73,14.4,52.5,12.1
Grapes,433,33.5,32.0,37.8
Oats,241,10.8,71.9,5.5
Cheese,507,19.2,32.8,13.4
Orange,185,18.8,26.2,41.0
Broccoli,387,38.2,61.8,30.6
Rice,344,32.5,90.6,49.0
Popcorn,264,47.3,12.5,24.7
Broccoli,68,25.2,34.0,9.9
Chocolate,226,35.1,55.6,31.6
Broccoli,543,1.0,14.0,21.2
Potato,584,37.5,95.0,48.0
Tomato,483,19.7,69.1,22.5
Coffee,577,16.2,25.7,17.0
Chips,597,24.5,75.8,5.1
Milk,566,11.7,20.2,41.4
Potato,593,44.9,48.7,19.4
Broccoli,523,21.0,83.0,15.8
Grapes,572,25.7,35.4,34.7
Cheese,457,26.5,56.4,8.0
Chocolate,512,43.2,43.6,2.6
Banana,104,36.1,69.9,41.8
Nuts,417,21.9,25.6,23.6
Salmon,348,34.2,65.4,8.7
Pasta,153,25.1,87.8,48.8
Pasta,135,20.8,7.6,28.1
Paneer,70,42.7,80.4,7.2
Yogurt,201,3.6,22.4,23.3
Milk,482,40.3,92.7,49.8
Paneer,156,15.9,88.3,9.4
Quinoa,462,4.5,61.1,46.1
Chips,62,23.1,74.8,35.7
Salmon,528,43.3,55.1,42.8
Coffee,576,27.2,61.3,17.5
Pasta,213,14.2,67.0,11.8
Milkshake,473,30.3,60.1,25.9
Bread,375,15.1,55.6,41.1
Broccoli,158,27.8,57.7,25.2
Chicken Breast,512,28.4,72.4,25.1
Tomato,149,40.3,37.2,15.1
Pork Chop,489,9.7,48.3,21.8
Strawberry,299,12.9,10.8,18.6
Coffee,491,34.9,72.7,47.0
Popcorn,169,29.9,36.9,23.6
Water,451,45.3,77.6,15.2
Rice,501,25.1,54.7,49.5
Banana,533,22.7,75.7,30.7
Banana,471,27.6,70.6,34.8
Butter,343,36.2,47.5,25.9
Orange,420,5.1,58.6,26.8
Tomato,329,38.4,37.6,26.8
Pasta,284,21.6,21.6,37.0
Rice,588,32.4,97.3,49.0
Cookies,208,16.4,52.8,33.8
Nuts,541,33.1,22.9,39.3
Chocolate,566,46.2,27.2,20.1
Milkshake,138,22.1,69.3,16.8
Nuts,139,22.6,93.7,35.2
Coffee,58,10.3,28.4,31.1
Popcorn,587,40.0,51.6,36.8
Chocolate,205,26.8,70.1,14.8
Eggs,470,33.3,29.8,4.4
Tomato,205,12.0,47.1,15.3
Paneer,527,16.2,15.9,12.8
Grapes,230,7.1,90.3,23.3
Beef Steak,591,7.6,92.6,1.6
Pasta,286,40.8,58.2,42.6
Cookies,276,9.5,75.3,25.8
Cheese,118,30.6,99.4,30.1
Popcorn,556,47.2,22.1,33.1
Strawberry,231,11.8,98.8,44.3
Salmon,63,17.9,69.6,31.7
Potato,561,45.5,79.6,46.9
Oats,432,42.1,97.6,15.2
Rice,564,14.0,22.6,36.8
Rice,437,37.4,67.0,49.5
Chips,171,11.9,30.1,4.2
Chicken Breast,279,6.8,21.0,5.8
Yogurt,194,38.3,49.7,40.5
Spinach,469,4.9,28.7,20.6
Water,273,8.1,29.0,29.2
Salmon,218,29.3,13.7,30.3
Broccoli,246,11.3,56.1,34.1
Beef Steak,211,45.4,74.1,16.4
Chicken Breast,216,13.3,56.9,46.1
Cookies,236,28.0,46.1,25.0
Coffee,257,7.2,73.7,9.0
Carrot,565,1.6,71.1,29.9
Eggs,552,16.3,80.3,11.4
Potato,488,30.0,27.3,27.2
Yogurt,124,44.9,48.1,3.6
Green Tea,505,26.9,11.5,37.5
Coffee,543,36.7,71.6,49.1
Chips,417,37.2,47.7,34.6
Green Tea,403,21.1,65.0,47.4
Cheese,308,20.4,64.9,6.4
Chips,455,37.2,81.3,49.2
Cookies,244,36.5,6.8,9.5
Popcorn,358,27.6,88.6,37.4
Popcorn,122,9.2,72.1,15.2
Apple,107,23.0,78.2,11.5
Cookies,563,24.7,92.3,18.6
Beef Steak,487,31.6,15.5,11.2
Cookies,349,25.9,78.1,8.1
Tomato,180,8.7,46.7,15.9
Yogurt,156,19.8,91.3,40.1
Pork Chop,562,12.9,7.6,49.9
Banana,495,30.5,34.1,42.3
Orange Juice,488,43.8,17.6,8.7
Cheese,119,47.4,68.2,43.6
Cheese,471,48.0,98.0,6.8
Apple,511,45.6,90.7,9.7
Water,423,29.7,83.2,1.0
Broccoli,188,48.4,58.6,14.8
Cookies,65,7.4,34.0,16.8
Pasta,310,40.8,86.4,22.1
Broccoli,259,48.3,54.1,37.8
Orange Juice,538,22.4,58.5,44.6
Chocolate,293,22.3,54.4,42.2
Butter,385,30.3,21.2,15.3
Chicken Breast,150,26.1,52.8,1.1
Rice,517,12.6,55.3,13.6
Cheese,341,8.3,98.2,41.6
Orange,580,9.4,82.8,39.4
Rice,561,17.0,23.8,7.8
Potato,336,10.9,41.2,44.0
Paneer,106,8.1,42.5,38.3
Orange,166,27.1,25.9,36.9
Butter,142,28.1,25.1,11.6
Orange Juice,363,15.9,14.2,39.2
Eggs,518,48.8,40.4,10.1
Paneer,543,27.0,25.0,2.2
Chicken Breast,268,8.6,41.7,36.9
Milk,248,19.4,56.5,41.7
Orange,383,12.2,79.9,6.3
Milk,442,47.7,48.7,32.2
Coffee,269,43.0,27.2,21.8
Cookies,600,38.5,37.6,32.0
Milk,570,38.6,13.3,25.6
Milkshake,284,6.0,14.4,25.9
Yogurt,410,12.9,77.7,6.2
Banana,521,8.9,43.8,31.7
Bread,469,29.3,85.4,23.8
Popcorn,320,9.1,57.8,49.0
Butter,296,31.1,19.9,9.0
Orange Juice,277,40.8,42.2,13.3
Beef Steak,94,9.7,24.5,30.3
Grapes,328,47.4,5.1,16.0
Beef Steak,134,2.2,15.4,12.6
Carrot,412,20.5,96.9,21.6
Oats,347,45.3,31.7,37.9
Popcorn,496,12.4,52.1,36.2
Milkshake,512,44.0,11.5,9.7
Oats,170,46.9,44.0,18.8
Cheese,55,40.1,70.0,7.8
Cheese,382,14.2,99.7,6.7
Pasta,272,14.7,61.6,35.8
Orange,280,13.3,90.3,47.2
Pork Chop,149,3.6,73.9,45.1
Banana,406,41.4,11.0,39.4
Strawberry,262,48.1,35.3,16.9
Potato,242,49.2,87.8,12.1
Orange Juice,348,30.7,21.6,46.7
Oats,81,44.6,86.9,47.7
Milkshake,434,36.6,92.3,39.9
Pork Chop,409,22.7,21.6,48.5
Broccoli,300,24.6,96.1,23.2
Milkshake,444,12.9,68.7,10.6
Apple,340,33.9,28.5,43.1
Beef Steak,550,19.1,47.9,22.0
Nuts,383,48.1,83.9,17.7
Banana,221,36.7,66.2,33.6
Strawberry,464,19.8,98.5,15.7
Chocolate,226,24.2,45.4,3.7
Tomato,215,23.0,45.7,49.1
Pasta,514,28.7,28.8,17.7
Pork Chop,293,1.3,82.4,23.3
Milk,540,2.4,78.9,48.5
Milk,186,45.4,36.8,44.8
Salmon,549,35.1,84.8,26.4
Yogurt,382,35.3,50.5,5.5
Water,317,42.9,44.9,3.0
Water,133,44.4,76.9,39.0
Nuts,68,32.8,43.4,40.2
Rice,222,17.4,51.6,39.0
Milkshake,130,39.0,80.1,15.7
Eggs,488,4.6,31.6,8.2
Salmon,86,21.2,38.1,49.1
Milk,459,9.6,70.8,4.2
Cookies,361,31.3,5.7,15.7
Eggs,510,45.9,26.3,43.3
Yogurt,381,22.1,98.8,40.8
Popcorn,258,15.8,28.7,11.7
Rice,517,33.7,59.1,36.7
Salmon,460,8.9,88.0,12.2
Popcorn,131,27.0,25.1,8.3
Grapes,253,40.2,62.3,39.6
Milkshake,428,14.1,85.3,7.3
Milkshake,559,33.9,21.6,5.9
Salmon,113,30.7,81.4,30.5
Grapes,496,5.3,42.6,35.6
Paneer,577,19.5,22.8,8.1
Broccoli,389,21.0,95.2,2.6
Banana,205,43.8,78.6,20.6
Banana,429,39.8,97.1,39.1
Oats,392,41.3,34.0,38.2
Chips,136,47.9,48.7,37.0
Water,88,37.1,29.4,31.9
Eggs,497,32.3,43.2,22.3
Strawberry,101,5.8,14.2,4.3
Chocolate,509,12.8,76.5,29.9
Rice,378,20.1,30.7,25.9
Strawberry,119,44.5,73.0,6.3
Beef Steak,289,20.1,49.7,29.4
Rice,590,47.2,11.5,11.3
Oats,454,36.7,54.2,45.8
Strawberry,381,26.9,41.3,30.9
Oats,590,19.6,11.6,17.9
Chicken Breast,302,4.5,27.4,42.5
Apple,224,23.1,92.6,44.6
Beef Steak,442,16.8,26.1,22.8
Pork Chop,425,17.8,63.2,5.7
Potato,300,39.6,62.2,26.5
Green Tea,185,42.7,90.4,4.0
Banana,418,49.4,58.6,48.0
Chicken Breast,238,23.4,23.2,30.5
Green Tea,504,19.3,67.5,21.3
Potato,365,28.9,66.4,21.1
Chicken Breast,521,39.3,52.8,32.9
Paneer,114,43.4,94.0,26.4
Banana,534,46.8,41.0,5.9
Chicken Breast,385,1.2,23.0,31.9
Popcorn,508,2.9,70.9,10.8
Paneer,506,22.6,24.9,17.6
Strawberry,282,14.3,74.5,35.7
Beef Steak,80,30.6,17.4,30.1
Rice,343,4.7,6.9,13.3
Nuts,117,41.5,79.1,5.3
Carrot,581,42.6,7.7,36.6
Quinoa,454,19.5,64.5,44.3
Rice,500,48.2,86.2,28.4
Pork Chop,194,1.5,47.6,34.0
Milk,416,44.1,71.8,12.7
Beef Steak,251,33.1,81.3,26.9
Grapes,182,30.5,61.9,32.0
Pork Chop,60,41.1,54.3,11.4
Eggs,142,17.6,91.6,32.2
Milkshake,160,15.9,66.2,16.7
Oats,156,11.9,46.7,26.9
Milk,139,37.8,27.9,48.7
Strawberry,249,14.7,16.9,40.6
Chicken Breast,74,29.6,75.4,7.0
Milkshake,567,24.0,46.1,16.3
Paneer,441,37.7,53.6,4.9
Milk,403,44.6,63.8,37.3
Pork Chop,167,9.6,36.5,12.5
Yogurt,485,13.0,71.6,10.7
Strawberry,436,32.6,46.1,2.4
Green Tea,125,37.4,33.8,5.2
Milk,58,4.2,45.3,21.3
Orange Juice,71,4.9,68.9,33.3
Pork Chop,501,3.0,71.9,35.7
Beef Steak,84,30.0,86.0,49.6
Butter,220,12.4,93.0,35.4
Grapes,72,40.4,89.6,20.2
Chips,102,10.8,58.9,20.3
Quinoa,95,14.0,92.1,43.1
Orange Juice,301,20.0,31.7,10.6
Coffee,229,29.5,95.2,45.1
Paneer,101,26.3,48.1,18.7
Banana,304,43.2,16.3,36.3
Potato,410,46.2,27.7,29.8
Grapes,96,38.9,99.9,34.1
Cheese,177,37.4,92.4,6.4
Tomato,430,36.6,35.3,41.7
Bread,389,41.1,25.6,35.7
Orange Juice,485,4.1,34.4,38.8
Strawberry,441,17.7,14.5,11.2
Salmon,237,30.8,66.3,36.7
Chicken Breast,184,41.4,94.2,39.5
Nuts,481,46.0,38.9,15.8
Water,465,27.6,24.2,18.2
Bread,394,2.0,54.7,8.7
Rice,502,11.3,62.8,9.0
Eggs,580,46.3,77.5,22.7
Carrot,209,1.4,27.8,19.7
Quinoa,168,45.2,63.2,14.0
